Step #9350.00 (0ms ?*RT. ?UPS, TraCI: 61ms, vehicles TOT 479 ACT 134 BUF 0)               
Step #9400.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 480 ACT 131 BUF 0)               
Step #9450.00 (0ms ?*RT. ?UPS, TraCI: 44ms, vehicles TOT 483 ACT 131 BUF 1)               
Step #9500.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 487 ACT 132 BUF 0)               
Step #9550.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 488 ACT 128 BUF 0)               
Step #9600.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 492 ACT 129 BUF 0)               
Step #9650.00 (1ms ~= 500.00*RT, ~129000.00UPS, TraCI: 57ms, vehicles TOT 495 ACT 129 BUF 
Step #9700.00 (1ms ~= 500.00*RT, ~130000.00UPS, TraCI: 56ms, vehicles TOT 498 ACT 130 BUF 
Step #9750.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 499 ACT 126 BUF 0)               
Step #9800.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 500 ACT 123 BUF 0)               
Step #9850.00 (1ms ~= 500.00*RT, ~126000.00UPS, TraCI: 55ms, vehicles TOT 506 ACT 126 BUF 
Step #9900.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 508 ACT 127 BUF 0)               
Step #9950.00 (1ms ~= 500.00*RT, ~129000.00UPS, TraCI: 57ms, vehicles TOT 511 ACT 129 BUF 
Step #10000.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 514 ACT 128 BUF 0)              
Step #10050.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 515 ACT 129 BUF 0)              
Step #10100.00 (1ms ~= 500.00*RT, ~127000.00UPS, TraCI: 58ms, vehicles TOT 516 ACT 127 BUF
Step #10150.00 (1ms ~= 500.00*RT, ~129000.00UPS, TraCI: 58ms, vehicles TOT 519 ACT 129 BUF
Step #10200.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 524 ACT 132 BUF 0)              
Step #10250.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 526 ACT 129 BUF 0)              
Step #10300.00 (1ms ~= 500.00*RT, ~128000.00UPS, TraCI: 57ms, vehicles TOT 528 ACT 128 BUF
Step #10350.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 532 ACT 130 BUF 0)              
Step #10400.00 (0ms ?*RT. ?UPS, TraCI: 51ms, vehicles TOT 538 ACT 133 BUF 0)              
Step #10450.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 541 ACT 136 BUF 1)              
Step #10500.00 (1ms ~= 500.00*RT, ~137000.00UPS, TraCI: 60ms, vehicles TOT 544 ACT 137 BUF
Step #10550.00 (0ms ?*RT. ?UPS, TraCI: 61ms, vehicles TOT 549 ACT 139 BUF 0)              
Step #10600.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 552 ACT 139 BUF 0)              
Step #10650.00 (0ms ?*RT. ?UPS, TraCI: 61ms, vehicles TOT 555 ACT 141 BUF 0)              
Step #10700.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 557 ACT 139 BUF 0)              
Step #10750.00 (0ms ?*RT. ?UPS, TraCI: 62ms, vehicles TOT 560 ACT 138 BUF 0)              
Step #10800.00 (0ms ?*RT. ?UPS, TraCI: 63ms, vehicles TOT 562 ACT 139 BUF 0)              
Step #10850.00 (0ms ?*RT. ?UPS, TraCI: 62ms, vehicles TOT 565 ACT 139 BUF 0)              
Step #10900.00 (0ms ?*RT. ?UPS, TraCI: 63ms, vehicles TOT 571 ACT 143 BUF 0)              
Step #10950.00 (1ms ~= 500.00*RT, ~145000.00UPS, TraCI: 64ms, vehicles TOT 574 ACT 145 BUF
Step #11000.00 (1ms ~= 500.00*RT, ~145000.00UPS, TraCI: 64ms, vehicles TOT 576 ACT 145 BUF
Step #11050.00 (0ms ?*RT. ?UPS, TraCI: 64ms, vehicles TOT 580 ACT 145 BUF 0)              
Step #11100.00 (0ms ?*RT. ?UPS, TraCI: 63ms, vehicles TOT 582 ACT 145 BUF 0)              
Step #11150.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 582 ACT 142 BUF 0)              
Step #11200.00 (1ms ~= 500.00*RT, ~141000.00UPS, TraCI: 63ms, vehicles TOT 584 ACT 141 BUF
Step #11250.00 (0ms ?*RT. ?UPS, TraCI: 64ms, vehicles TOT 585 ACT 140 BUF 0)              
Step #11300.00 (0ms ?*RT. ?UPS, TraCI: 64ms, vehicles TOT 588 ACT 140 BUF 0)              
Step #11350.00 (0ms ?*RT. ?UPS, TraCI: 63ms, vehicles TOT 591 ACT 139 BUF 0)              
Step #11400.00 (1ms ~= 500.00*RT, ~139000.00UPS, TraCI: 62ms, vehicles TOT 592 ACT 139 BUF
Step #11450.00 (0ms ?*RT. ?UPS, TraCI: 62ms, vehicles TOT 594 ACT 137 BUF 0)              
Step #11500.00 (0ms ?*RT. ?UPS, TraCI: 62ms, vehicles TOT 596 ACT 136 BUF 0)              
Step #11550.00 (1ms ~= 500.00*RT, ~141000.00UPS, TraCI: 62ms, vehicles TOT 603 ACT 141 BUF
